First Name,Last Name,SIN,Gender,Sector,Age ,Admission,Profession,Status,DOD,Donor?,Chaplin Service,Meal Pref,ROOM,DNR?,Attnd. Phys.
Livvie,Colgrave,884-16-8703,Female,Sector 10,13,2018-03-11,NA,ALIVE,NA,FALSE,Catholic,VEG,A21,TRUE,Lee
Di,Batchelour,639-20-7097,Female,Sector 10,32,2018-03-11,Statistician I,DECEASED,2018-03-11,FALSE,Jewish,NA,D30,FALSE,Smith
Olivier,Coleford,516-07-3406,Male,Sector 10,91,2018-03-11,Quality Control Specialist,ALIVE,NA,FALSE,Catholic,CHCKN,D48,FALSE,Lee
Dorolice,Grossier,655-13-9489,Female,Sector 11,9,2018-03-08,NA,DECEASED,2018-03-11,TRUE,Protestant,CHCKN,D40,TRUE,Smith
Salmon,Bawcock,401-61-4039,Male,Sector 11,70,2018-03-09,Nurse Practicioner,DECEASED,2018-03-12,FALSE,Muslim,VEG,B30,FALSE,Smith
Elise,Sturman,193-61-8552,Female,Sector 11,59,2018-03-09,Occupational Therapist,DECEASED,2018-03-10,FALSE,Catholic,VEG,B25,FALSE,Pan
Wallis,Caulket,358-15-8148,Male,Sector 11,53,2018-03-09,Analog Circuit Design manager,ALIVE,NA,FALSE,Catholic,VEG,A16,FALSE,Ouyuki
Lorianne,Juan,423-69-0227,Female,Sector 11,80,2018-03-09,Web Designer III,ALIVE,NA,FALSE,Catholic,NA,C8,FALSE,White
Vasilis,Breckenridge,820-37-0876,Male,Sector 11,34,2018-03-09,Biostatistician II,DECEASED,2018-03-10,FALSE,Other,VEG,D7,FALSE,White
Harri,Beckham,680-12-1525,Female,Sector 11,38,2018-03-09,Programmer II,DECEASED,2018-03-10,FALSE,Jewish,VEG,B17,FALSE,Ouyuki
Sim,Plumtree,508-03-2709,Male,Sector 11,64,2018-03-09,Cost Accountant,DECEASED,2018-03-12,FALSE,Jewish,CHCKN,B39,FALSE,Sanders
Ruddie,Flegg,606-46-6675,Male,Sector 11,88,2018-03-09,Food Chemist,ALIVE,NA,FALSE,Catholic,CHCKN,A33,FALSE,Smith
Janine,Roskrug,334-06-9222,Female,Sector 11,11,2018-03-09,NA,ALIVE,NA,FALSE,NA,NA,C47,TRUE,Sanders
Alexandros,Birmingham,487-54-1568,Male,Sector 11,61,2018-03-10,Financial Analyst,DECEASED,2018-03-13,FALSE,Muslim,VEG,B42,FALSE,Pan
Dorette,Northbridge,743-25-5761,Female,Sector 11,64,2018-03-10,Assistant Media Planner,DECEASED,2018-03-13,FALSE,Catholic,VEG,B39,FALSE,Lee
Malva,Feary,746-57-4350,Female,Sector 11,82,2018-03-10,Information Systems Manager,DECEASED,2018-03-10,FALSE,NA,CHCKN,C50,FALSE,Ouyuki
Beau,Benettelli,322-46-0417,Male,Sector 11,7,2018-03-10,NA,DECEASED,2018-03-10,FALSE,Protestant,CHCKN,D39,FALSE,Sanders
Nert,Allibone,897-62-0143,Female,Sector 11,50,2018-03-10,Programmer Analyst II,DECEASED,2018-03-12,FALSE,Jewish,NA,D5,FALSE,Lee
Amalle,Elbourn,837-04-8484,Female,Sector 11,9,2018-03-10,NA,ALIVE,NA,TRUE,Catholic,CHCKN,D6,FALSE,Ouyuki
Ardra,Trusse,141-44-4964,Female,Sector 11,48,2018-03-10,Software Test Engineer II,ALIVE,NA,FALSE,Jewish,NA,B44,FALSE,Lee
Dorthy,Stalman,652-26-5701,Female,Sector 11,76,2018-03-10,Payment Adjustment Coordinator,DECEASED,2018-03-10,FALSE,Protestant,CHCKN,B31,FALSE,Pan
Shirline,Carnachen,795-78-9164,Female,Sector 11,78,2018-03-10,Help Desk Technician,ALIVE,NA,FALSE,Protestant,VEG,A50,FALSE,Lee
Silvana,Mostin,858-84-1973,Female,Sector 11,35,2018-03-10,Nurse Practicioner,DECEASED,2018-03-11,FALSE,Jewish,CHCKN,A29,FALSE,Pan
Blake,Healks,160-10-3568,Female,Sector 11,34,2018-03-10,Developer IV,ALIVE,NA,FALSE,Muslim,CHCKN,B22,FALSE,Pan
Elmer,Gittoes,862-24-5961,Male,Sector 11,1,2018-03-11,NA,DECEASED,2018-03-12,FALSE,Catholic,VEG,B27,FALSE,White
Sigrid,Beswetherick,827-87-0204,Female,Sector 11,39,2018-03-11,Senior Developer,DECEASED,2018-03-12,FALSE,NA,VEG,B37,FALSE,Ouyuki
Prinz,Brickham,591-77-6484,Male,Sector 11,67,2018-03-11,Operator,ALIVE,NA,FALSE,NA,CHCKN,D28,FALSE,Smith
Gerhard,Cloughton,405-62-6376,Male,Sector 11,93,2018-03-11,Health Coach I,ALIVE,NA,FALSE,NA,VEG,A5,FALSE,Lee
Sampson,Roome,483-34-6701,Male,Sector 11,79,2018-03-11,Civil Engineer,DECEASED,2018-03-14,FALSE,Jewish,NA,B9,FALSE,Pan
Dede,Spenclay,440-33-4684,Female,Sector 11,18,2018-03-11,NA,ALIVE,NA,TRUE,Protestant,CHCKN,D32,FALSE,Pan
Kirstyn,Pomfrett,615-18-5970,Female,Sector 11,87,2018-03-11,Editor,DECEASED,2018-03-11,FALSE,NA,VEG,A43,FALSE,White
Pattin,Tomaszynski,596-23-8612,Male,Sector 11,52,2018-03-11,Paralegal,DECEASED,2018-03-14,FALSE,Catholic,VEG,D19,FALSE,Ouyuki
Emlyn,Tackell,344-66-7104,Male,Sector 11,85,2018-03-11,Analog Circuit Design manager,DECEASED,2018-03-11,FALSE,Protestant,CHCKN,D28,FALSE,Pan
Quintilla,Grice,774-36-0942,Female,Sector 11,77,2018-03-11,Cost Accountant,DECEASED,2018-03-14,FALSE,Other,NA,D41,FALSE,Pan
Blaire,Scarrott,334-56-9988,Female,Sector 11,43,2018-03-11,Librarian,ALIVE,NA,FALSE,NA,CHCKN,B46,FALSE,Pan
Viviyan,Jerrams,475-89-8170,Female,Sector 11,51,2018-03-11,Chief Design Engineer,DECEASED,2018-03-11,FALSE,NA,CHCKN,B5,FALSE,Sanders
Tani,Romei,416-68-3249,Female,Sector 11,73,2018-03-11,Technical Writer,DECEASED,2018-03-14,FALSE,Protestant,NA,C42,FALSE,White
Goddard,Bain,893-34-1676,Male,Sector 11,58,2018-03-11,Structural Engineer,ALIVE,NA,FALSE,NA,CHCKN,D47,FALSE,Smith
Delbert,Braz,772-31-3606,Male,Sector 11,13,2018-03-11,NA,DECEASED,2018-03-11,FALSE,Muslim,CHCKN,A34,TRUE,Smith
Cassandry,Bretton,112-28-1352,Female,Sector 11,55,2018-03-11,Tax Accountant,DECEASED,2018-03-13,FALSE,Jewish,CHCKN,B24,FALSE,Pan
Conrad,Ghelerdini,555-94-9858,Male,Sector 11,88,2018-03-11,Marketing Manager,ALIVE,NA,FALSE,Muslim,CHCKN,D13,FALSE,Sanders
Wally,Jellyman,810-58-3875,Female,Sector 11,10,2018-03-11,NA,ALIVE,NA,TRUE,Catholic,VEG,D10,TRUE,Lee
Dieter,Reeday,281-62-1478,Male,Sector 11,76,2018-03-11,Accounting Assistant III,DECEASED,2018-03-11,FALSE,Jewish,CHCKN,B9,FALSE,Ouyuki
Way,Stowers,119-18-3809,Male,Sector 11,65,2018-03-11,Mechanical Systems Engineer,ALIVE,NA,FALSE,NA,VEG,C28,FALSE,Lee
Jaine,Niche,263-39-2309,Female,Sector 11,17,2018-03-11,NA,ALIVE,NA,TRUE,Catholic,CHCKN,B28,FALSE,White
Freddie,Liverseege,649-04-3178,Male,Sector 11,78,2018-03-11,Accountant II,DECEASED,2018-03-14,FALSE,Other,NA,D9,FALSE,Pan
Yoko,Ryrie,255-71-2030,Female,Sector 11,37,2018-03-11,Quality Control Specialist,ALIVE,NA,FALSE,Other,VEG,A28,FALSE,Sanders
Lamar,Willett,698-13-4262,Male,Sector 11,37,2018-03-12,Research Assistant II,DECEASED,2018-03-12,FALSE,Jewish,NA,D38,FALSE,Pan
Addie,Hallick,113-59-4127,Female,Sector 11,44,2018-03-12,Engineer II,ALIVE,NA,FALSE,NA,CHCKN,D39,FALSE,Smith
Corey,Ephgrave,415-24-4315,Female,Sector 11,58,2018-03-12,Information Systems Manager,ALIVE,NA,FALSE,Other,VEG,D14,FALSE,Sanders
Vinita,Pember,182-68-7384,Female,Sector 11,19,2018-03-12,Senior Sales Associate,ALIVE,NA,FALSE,NA,NA,C19,FALSE,Lee
Leah,MacGiffin,417-39-6262,Female,Sector 12,89,2018-03-08,Recruiter,DECEASED,2018-03-09,FALSE,Jewish,NA,A27,FALSE,White
Rosene,Tuffin,820-52-2640,Female,Sector 12,7,2018-03-09,NA,ALIVE,NA,TRUE,Catholic,NA,B1,TRUE,Smith
Catlee,d'Arcy,838-41-2290,Female,Sector 12,62,2018-03-09,Marketing Assistant,DECEASED,2018-03-12,FALSE,Protestant,NA,D28,FALSE,Ouyuki
Vladimir,Charles,804-22-5876,Male,Sector 12,90,2018-03-09,Web Developer II,DECEASED,2018-03-09,FALSE,Jewish,VEG,B37,FALSE,Lee
Town,Bowfin,139-48-7490,Male,Sector 12,96,2018-03-09,Registered Nurse,DECEASED,2018-03-09,FALSE,Protestant,CHCKN,D18,FALSE,Smith
Donnie,Trouel,180-66-2979,Female,Sector 12,31,2018-03-09,Assistant Media Planner,ALIVE,NA,FALSE,Protestant,VEG,C31,FALSE,Sanders
Erhard,Haysman,583-33-6275,Male,Sector 12,35,2018-03-09,Structural Engineer,DECEASED,2018-03-09,FALSE,Jewish,CHCKN,B6,FALSE,Ouyuki
Parsifal,Axtens,857-41-8821,Male,Sector 12,25,2018-03-09,Research Assistant II,DECEASED,2018-03-09,FALSE,Jewish,NA,D48,FALSE,Smith
Basilio,Riggulsford,679-41-5729,Male,Sector 12,92,2018-03-09,Human Resources Assistant I,DECEASED,2018-03-09,FALSE,Catholic,VEG,B27,FALSE,Sanders
Marillin,Danne,218-88-2052,Female,Sector 12,6,2018-03-09,NA,ALIVE,NA,FALSE,Other,VEG,A22,TRUE,Ouyuki
Tye,Wadge,469-43-8288,Male,Sector 12,66,2018-03-10,Assistant Manager,ALIVE,NA,FALSE,NA,VEG,B15,FALSE,Lee
Herby,De Nisco,123-05-0562,Male,Sector 12,46,2018-03-10,Structural Engineer,ALIVE,NA,FALSE,NA,VEG,C9,FALSE,White
Ceciley,Shelf,683-18-1487,Female,Sector 12,75,2018-03-10,Director of Sales,ALIVE,NA,FALSE,Jewish,VEG,C15,FALSE,Lee
Kassi,Yellowlea,278-37-0363,Female,Sector 12,12,2018-03-10,NA,DECEASED,2018-03-10,FALSE,NA,CHCKN,B8,FALSE,Ouyuki
Nixie,Aireton,130-22-6557,Female,Sector 12,76,2018-03-10,Budget/Accounting Analyst III,DECEASED,2018-03-10,FALSE,Protestant,VEG,C3,FALSE,Ouyuki
Bartolemo,Watkinson,763-15-7661,Male,Sector 12,37,2018-03-10,Account Executive,ALIVE,NA,FALSE,Muslim,VEG,B13,FALSE,Smith
Amalle,Mardoll,236-86-1248,Female,Sector 12,4,2018-03-10,NA,ALIVE,NA,TRUE,Muslim,CHCKN,C29,TRUE,White
Sacha,Hanney,347-57-2967,Female,Sector 12,8,2018-03-10,NA,ALIVE,NA,TRUE,Muslim,CHCKN,D19,FALSE,Sanders
Kameko,Kellard,572-19-6101,Female,Sector 12,7,2018-03-10,NA,DECEASED,2018-03-11,TRUE,Catholic,CHCKN,B13,TRUE,Smith
Devonne,Horribine,339-41-2459,Female,Sector 12,21,2018-03-10,Media Manager III,ALIVE,NA,FALSE,Protestant,CHCKN,C26,FALSE,White
Roberto,Chaney,695-31-1740,Male,Sector 12,8,2018-03-10,NA,DECEASED,2018-03-12,FALSE,Muslim,CHCKN,A19,TRUE,Lee
Wylie,Andreotti,714-09-6129,Male,Sector 12,5,2018-03-11,NA,ALIVE,NA,TRUE,Protestant,NA,B4,TRUE,Ouyuki
Kaia,Jeal,214-41-9568,Female,Sector 12,69,2018-03-11,Director of Sales,ALIVE,NA,FALSE,Muslim,CHCKN,B14,FALSE,Ouyuki
Lyndsay,Aspray,803-99-8068,Female,Sector 12,62,2018-03-11,Director of Sales,DECEASED,2018-03-12,FALSE,NA,NA,B48,FALSE,Sanders
Bren,Southern,715-40-1459,Male,Sector 12,94,2018-03-11,Staff Scientist,ALIVE,NA,FALSE,Other,VEG,D33,FALSE,Ouyuki
Olympie,McPeake,106-06-6260,Female,Sector 12,18,2018-03-11,NA,DECEASED,2018-03-13,FALSE,Jewish,NA,B3,TRUE,White
Gery,Cowdray,450-81-2487,Male,Sector 12,9,2018-03-11,NA,ALIVE,NA,TRUE,Other,CHCKN,B47,FALSE,Smith
Chick,Jopke,395-45-9920,Male,Sector 12,59,2018-03-11,Systems Administrator IV,DECEASED,2018-03-13,FALSE,Jewish,CHCKN,B35,FALSE,Smith
Newton,Swinburn,457-64-0252,Male,Sector 12,18,2018-03-11,NA,DECEASED,2018-03-11,TRUE,Other,NA,C49,TRUE,White
Jude,Adshead,752-23-1103,Male,Sector 12,70,2018-03-11,Technical Writer,ALIVE,NA,FALSE,Jewish,CHCKN,A22,FALSE,Ouyuki
Ogdon,La Wille,387-61-1741,Male,Sector 12,80,2018-03-11,Computer Systems Analyst I,DECEASED,2018-03-13,FALSE,NA,NA,B49,FALSE,Lee
Husain,Ledwith,509-66-9678,Male,Sector 12,67,2018-03-11,Administrative Assistant IV,DECEASED,2018-03-14,FALSE,Jewish,CHCKN,A27,FALSE,White
Brantley,Pettiford,484-87-9262,Male,Sector 12,5,2018-03-11,NA,DECEASED,2018-03-11,FALSE,NA,NA,D39,TRUE,Pan
Louis,Vyse,256-75-4246,Male,Sector 12,84,2018-03-11,Accountant IV,ALIVE,NA,FALSE,NA,NA,D45,FALSE,Sanders
Ole,Powter,159-84-5408,Male,Sector 12,17,2018-03-11,NA,DECEASED,2018-03-14,FALSE,Other,CHCKN,C26,TRUE,Pan
Susana,Blethyn,886-72-1905,Female,Sector 12,26,2018-03-11,Statistician I,DECEASED,2018-03-11,FALSE,Muslim,NA,C33,FALSE,Pan
Kathlin,Rengger,676-64-7210,Female,Sector 12,41,2018-03-11,Software Consultant,ALIVE,NA,FALSE,Catholic,VEG,D24,FALSE,Lee
Miles,Pimmocke,852-71-3233,Male,Sector 15,59,2018-03-08,Sales Associate,ALIVE,NA,FALSE,Jewish,VEG,A47,FALSE,Lee
Richardo,Salthouse,409-65-1992,Male,Sector 15,15,2018-03-08,NA,ALIVE,NA,FALSE,Other,CHCKN,C9,FALSE,Ouyuki
Talbert,Sproston,476-75-0213,Male,Sector 15,22,2018-03-09,Safety Technician II,ALIVE,NA,FALSE,Muslim,NA,B25,FALSE,Lee
Reinaldo,Obbard,608-94-7096,Male,Sector 15,21,2018-03-09,Software Test Engineer II,ALIVE,NA,FALSE,NA,CHCKN,C46,FALSE,Pan
Trixi,Meekin,153-84-9829,Female,Sector 15,87,2018-03-09,Budget/Accounting Analyst IV,ALIVE,NA,FALSE,Muslim,CHCKN,A11,FALSE,Ouyuki
Angelia,Britney,387-27-9960,Female,Sector 15,4,2018-03-09,NA,ALIVE,NA,TRUE,Catholic,VEG,B2,FALSE,White
Teirtza,Jakel,176-43-4490,Female,Sector 15,80,2018-03-09,Health Coach I,ALIVE,NA,FALSE,Protestant,CHCKN,D29,FALSE,Ouyuki
Stevie,Alesbrook,419-01-2351,Male,Sector 15,42,2018-03-09,Senior Editor,ALIVE,NA,FALSE,Jewish,NA,B1,FALSE,Sanders
Elisha,Turri,618-05-5622,Male,Sector 15,65,2018-03-10,Computer Systems Analyst II,DECEASED,2018-03-11,FALSE,Muslim,NA,D1,FALSE,White
Stanleigh,Ruston,357-63-3068,Male,Sector 15,58,2018-03-10,Pharmacist,DECEASED,2018-03-10,FALSE,Other,CHCKN,B21,FALSE,Pan
Fanchon,Stenson,426-17-8328,Female,Sector 15,16,2018-03-10,NA,DECEASED,2018-03-10,TRUE,Catholic,NA,D23,TRUE,Smith
Rodrick,Warrilow,478-66-2523,Male,Sector 15,78,2018-03-10,Media Manager I,ALIVE,NA,FALSE,Protestant,NA,D4,FALSE,Smith
Christie,Menpes,251-44-9952,Male,Sector 15,0,2018-03-10,NA,DECEASED,2018-03-10,FALSE,Jewish,VEG,A11,TRUE,White
Harry,Lambdin,649-76-7163,Male,Sector 15,10,2018-03-10,NA,DECEASED,2018-03-12,FALSE,NA,VEG,B16,TRUE,Sanders
Kerby,Rycraft,698-88-5001,Male,Sector 15,46,2018-03-10,Analyst Programmer,ALIVE,NA,FALSE,Protestant,NA,A26,FALSE,Ouyuki
Dominica,Gimson,804-15-9902,Female,Sector 15,30,2018-03-11,Senior Editor,DECEASED,2018-03-11,FALSE,Jewish,CHCKN,C12,FALSE,White
Hartley,Shanklin,381-84-3980,Male,Sector 15,42,2018-03-11,Staff Accountant II,DECEASED,2018-03-12,FALSE,NA,CHCKN,D15,FALSE,Smith
Libby,Collinette,204-92-7174,Female,Sector 15,88,2018-03-11,VP Accounting,DECEASED,2018-03-11,FALSE,Other,NA,A33,FALSE,Ouyuki
Elfreda,Darrach,563-72-4774,Female,Sector 15,83,2018-03-11,VP Marketing,ALIVE,NA,FALSE,Jewish,CHCKN,A31,FALSE,Ouyuki
Putnam,Borrowman,446-66-9389,Male,Sector 15,59,2018-03-11,Registered Nurse,ALIVE,NA,FALSE,Jewish,VEG,C11,FALSE,Smith
Arty,Pfeifer,697-54-4533,Male,Sector 15,83,2018-03-11,Assistant Professor,ALIVE,NA,FALSE,Other,NA,A50,FALSE,Pan
Luci,Laise,195-47-2300,Female,Sector 15,81,2018-03-11,Nurse Practicioner,ALIVE,NA,FALSE,Jewish,VEG,D46,FALSE,Sanders
Tammara,Chansonne,362-31-0159,Female,Sector 15,65,2018-03-11,Web Designer I,DECEASED,2018-03-13,FALSE,Jewish,CHCKN,D12,FALSE,Ouyuki
Caz,Handy,751-97-7069,Male,Sector 15,74,2018-03-11,Junior Executive,DECEASED,2018-03-11,FALSE,Muslim,NA,C21,FALSE,Pan
Gran,Alekseev,508-73-5571,Male,Sector 15,33,2018-03-11,Systems Administrator II,ALIVE,NA,FALSE,Jewish,CHCKN,B47,FALSE,Smith
Cassie,Lafflina,586-32-6842,Female,Sector 15,19,2018-03-11,Media Manager III,ALIVE,NA,FALSE,Catholic,CHCKN,A31,FALSE,Sanders
Etheline,Featherstonehaugh,223-83-1959,Female,Sector 15,85,2018-03-11,Sales Representative,DECEASED,2018-03-11,FALSE,Catholic,CHCKN,B6,FALSE,Lee
Carmel,Fowden,353-69-7283,Female,Sector 15,73,2018-03-12,Social Worker,DECEASED,2018-03-13,FALSE,Catholic,VEG,B21,FALSE,Smith
Yance,Geillier,448-66-7517,Male,Sector 15,59,2018-03-12,Programmer Analyst II,ALIVE,NA,FALSE,Muslim,NA,D37,FALSE,Ouyuki
Lukas,Romei,612-55-5981,Male,Sector 15,80,2018-03-12,Chemical Engineer,ALIVE,NA,FALSE,Other,VEG,C18,FALSE,Ouyuki
Dora,Dundridge,808-11-3011,Female,Sector 18,1,2018-03-08,NA,DECEASED,2018-03-08,TRUE,Muslim,CHCKN,C46,TRUE,Lee
Virgina,Dziwisz,396-37-9678,Female,Sector 18,84,2018-03-08,Occupational Therapist,ALIVE,NA,FALSE,Protestant,NA,B19,FALSE,Smith
Karna,Charville,354-97-5105,Female,Sector 18,71,2018-03-09,Help Desk Technician,DECEASED,2018-03-10,FALSE,Catholic,CHCKN,B38,FALSE,Ouyuki
Deonne,Dell Casa,199-59-7714,Female,Sector 18,81,2018-03-09,Nurse Practicioner,DECEASED,2018-03-09,FALSE,Jewish,CHCKN,B40,FALSE,White
Neala,Muehle,764-43-7850,Female,Sector 18,94,2018-03-09,Speech Pathologist,DECEASED,2018-03-09,FALSE,NA,CHCKN,B15,FALSE,Smith
Purcell,Bullivent,359-81-2239,Male,Sector 18,20,2018-03-09,Nuclear Power Engineer,ALIVE,NA,FALSE,Other,CHCKN,A45,FALSE,White
Arleta,Spofforth,356-39-1476,Female,Sector 18,81,2018-03-09,Media Manager II,DECEASED,2018-03-11,FALSE,Other,CHCKN,B42,FALSE,Smith
Vincents,Cicchinelli,722-76-9721,Male,Sector 18,72,2018-03-09,Health Coach IV,ALIVE,NA,FALSE,Protestant,VEG,C8,FALSE,Ouyuki
Gayle,Brunroth,522-40-0741,Male,Sector 18,47,2018-03-10,Project Manager,ALIVE,NA,FALSE,Jewish,CHCKN,C34,FALSE,Sanders
Micheline,Sedge,292-05-4820,Female,Sector 18,87,2018-03-10,Junior Executive,DECEASED,2018-03-10,FALSE,NA,NA,C40,FALSE,Lee
Lari,Parsell,635-44-7086,Female,Sector 18,65,2018-03-10,Chief Design Engineer,ALIVE,NA,FALSE,Protestant,CHCKN,B49,FALSE,Pan
Minor,Rickman,200-87-0573,Male,Sector 18,79,2018-03-10,Sales Associate,ALIVE,NA,FALSE,Catholic,NA,D5,FALSE,Ouyuki
Preston,Brager,824-78-0354,Male,Sector 18,14,2018-03-10,NA,ALIVE,NA,FALSE,Jewish,CHCKN,C44,FALSE,Ouyuki
Cathleen,Anetts,351-57-8801,Female,Sector 18,5,2018-03-10,NA,DECEASED,2018-03-10,FALSE,Protestant,NA,C31,FALSE,Ouyuki
Yolande,Orans,217-70-2160,Female,Sector 18,82,2018-03-10,Senior Editor,ALIVE,NA,FALSE,Other,NA,D14,FALSE,Lee
Gianni,McNevin,724-44-1352,Male,Sector 18,45,2018-03-11,Marketing Manager,DECEASED,2018-03-12,FALSE,Protestant,CHCKN,B45,FALSE,White
Lon,Colchett,894-89-1910,Male,Sector 18,38,2018-03-11,VP Marketing,DECEASED,2018-03-14,FALSE,Jewish,CHCKN,B17,FALSE,Ouyuki
Bili,Chong,390-28-2380,Female,Sector 18,6,2018-03-11,NA,DECEASED,2018-03-11,TRUE,NA,NA,D42,FALSE,Lee
Zebedee,Willgoose,311-49-0949,Male,Sector 18,14,2018-03-11,NA,DECEASED,2018-03-11,TRUE,Muslim,NA,D23,TRUE,Ouyuki
Lee,Dielhenn,724-21-5443,Male,Sector 18,19,2018-03-11,Web Designer IV,DECEASED,2018-03-14,FALSE,Muslim,CHCKN,A6,FALSE,Ouyuki
Cleavland,Furness,772-09-7866,Male,Sector 18,43,2018-03-11,Internal Auditor,DECEASED,2018-03-11,FALSE,Jewish,NA,D33,FALSE,White
Sophia,Tukesby,569-28-7188,Female,Sector 18,32,2018-03-11,Legal Assistant,DECEASED,2018-03-11,FALSE,Catholic,NA,C25,FALSE,White
Dodi,Ruilton,783-32-7704,Female,Sector 18,54,2018-03-11,Health Coach IV,ALIVE,NA,FALSE,Muslim,VEG,C25,FALSE,White
Kev,Mabbett,212-90-2139,Male,Sector 18,45,2018-03-11,Software Consultant,ALIVE,NA,FALSE,NA,NA,D44,FALSE,Smith
Cinda,Ivakhin,768-70-9885,Female,Sector 18,1,2018-03-11,NA,DECEASED,2018-03-11,TRUE,Protestant,CHCKN,B44,TRUE,White
Arny,Astin,728-07-9827,Male,Sector 18,22,2018-03-11,Business Systems Development Analyst,DECEASED,2018-03-13,FALSE,Jewish,NA,A19,FALSE,Lee
Katina,Dowey,812-94-3536,Female,Sector 18,95,2018-03-11,Paralegal,DECEASED,2018-03-11,FALSE,Jewish,VEG,A11,FALSE,Lee
Arv,Pinsent,465-95-7887,Male,Sector 18,20,2018-03-12,Assistant Professor,DECEASED,2018-03-14,FALSE,Jewish,VEG,A7,FALSE,Smith
Ninnette,Mathey,556-60-2004,Female,Sector 18,54,2018-03-12,VP Quality Control,ALIVE,NA,FALSE,Muslim,VEG,B3,FALSE,White
